file,res_x,res_y,clip_x,clip_y
Movie_Gothic_140.jpg,0.14011595,0.7874104,0.7424715,0.65696615
Movie_Gothic_141.jpg,0.60749793,0.8696927,0.37696385,0.657544
Movie_Gothic_142.jpg,0.8188574,0.49980476,0.2721668,0.47860825
Movie_Gothic_143.jpg,0.41463298,1.0,0.7070618,0.17326197
Movie_Gothic_144.jpg,0.9397443,0.21990198,0.2584203,0.2918524
Movie_Gothic_145.jpg,0.24316627,0.5728782,0.37908995,0.50312537
Movie_Gothic_146.jpg,0.6477055,0.61756927,0.8705716,0.4947334
Movie_Gothic_147.jpg,0.9178708,0.3890116,0.40061796,0.117774546
Movie_Gothic_148.jpg,0.48398176,0.33692652,0.0,0.6102849
Movie_Gothic_149.jpg,0.28802547,0.7641476,0.5387446,0.09801615
Movie_Gothic_150.jpg,0.52538395,0.93627775,0.75622594,0.3256138
Movie_Gothic_151.jpg,0.18858685,0.79083645,0.6331518,0.7080463
Movie_Gothic_152.jpg,0.65759003,0.08441128,0.36111444,0.3134023
Movie_Gothic_153.jpg,0.9296452,0.2690974,0.4805952,0.20874363
Movie_Gothic_154.jpg,0.92908955,0.2458813,0.29050398,0.28970551
Movie_Gothic_155.jpg,0.4397677,0.5096029,0.5346544,0.79227483
Movie_Gothic_156.jpg,0.23599853,0.86270785,0.5536258,0.87557316
Movie_Gothic_157.jpg,0.7120512,0.6214367,0.43276194,1.0
Movie_Gothic_158.jpg,0.021390116,0.82826656,0.69020134,0.67408144
Movie_Gothic_159.jpg,0.52407086,0.31758106,0.16866088,0.5992708
Movie_Gothic_160.jpg,0.6747999,0.5056992,0.7693949,0.12294017
Movie_Gothic_161.jpg,0.19310227,0.73327196,0.67364746,0.6306474
Movie_Gothic_162.jpg,0.38389885,0.6184977,0.42967194,0.64369404
Movie_Gothic_163.jpg,0.38567477,0.56017,0.85123646,0.23611106
Movie_Gothic_164.jpg,0.16095771,0.67460805,0.583123,0.33688352
Movie_Gothic_165.jpg,0.7212213,0.33721477,0.91265494,0.3461197
Movie_Gothic_166.jpg,0.75594306,0.19072883,0.35216925,0.84208345
Movie_Gothic_167.jpg,0.511502,0.7374438,0.7170562,0.3995292
Movie_Gothic_168.jpg,0.07135779,0.56119937,0.4911088,0.50749046
Movie_Gothic_169.jpg,0.53898555,0.8497431,0.6003141,0.7970201
Movie_Gothic_170.jpg,0.118389115,0.39455298,0.74589705,0.7361815
Movie_Gothic_171.jpg,0.16931503,0.9538801,0.76422274,0.18674624
Movie_Gothic_172.jpg,0.50244856,0.4367615,0.6544735,0.44877246
Movie_Gothic_173.jpg,0.37207776,0.6968953,0.637815,0.18861067
Movie_Gothic_174.jpg,0.14975303,0.43166134,0.83734745,0.57562417
Movie_Gothic_175.jpg,0.39996883,0.23915769,0.4737504,0.9654305
Movie_Gothic_176.jpg,0.6548895,0.6409815,0.5877474,0.4685473
Movie_Gothic_177.jpg,0.3160563,0.7065031,0.5973416,0.8110481
Movie_Gothic_178.jpg,0.9734016,0.6309315,0.60687,0.28421772
Movie_Gothic_179.jpg,0.48206273,0.17135876,0.15581726,0.27098417
Movie_Gothic_180.jpg,0.6460975,0.14331211,0.46097273,0.3647145
Movie_Gothic_181.jpg,0.6932872,0.12814337,0.3732603,0.2733858
Movie_Gothic_182.jpg,0.108062156,0.54926443,0.23448963,0.2845513
Movie_Gothic_183.jpg,0.6331786,0.38643447,0.3127632,0.73014003
Movie_Gothic_184.jpg,0.8667764,0.107197985,0.5881534,0.20975831
Movie_Gothic_185.jpg,0.64205647,0.27870178,0.44083342,0.7033877
Movie_Gothic_186.jpg,0.7574837,0.79051656,0.543232,0.9820409
Movie_Gothic_187.jpg,0.45466354,0.7592051,0.59579426,0.20243141
Movie_Gothic_188.jpg,0.1895173,0.42035693,0.46691015,0.29554343
Movie_Gothic_189.jpg,0.52817243,0.38637123,0.19134745,0.76186407
Movie_Gothic_190.jpg,0.1207517,0.5878956,0.6932778,0.85951275
Movie_Gothic_191.jpg,0.35722515,0.32759196,0.40673015,0.76681054
Movie_Gothic_192.jpg,0.33197075,0.5389963,0.34189916,0.33592105
Movie_Gothic_193.jpg,0.5201029,0.79994935,0.3988934,0.6431084
Movie_Gothic_194.jpg,0.047906328,0.5535869,0.2905837,0.65979654
Movie_Gothic_195.jpg,0.3583656,0.7974331,0.836511,0.20992027
Movie_Gothic_196.jpg,0.3130501,0.9242262,0.7594545,0.6888475
Movie_Gothic_197.jpg,0.70574117,0.24563089,0.31884408,0.3761055
Movie_Gothic_198.jpg,0.52321047,0.03991706,0.91475683,0.77037793
